City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,itoman,26.1247,127.6694,28.43,86,20,5.66,JP,1690484902
351,cozumel,20.5083,-86.9458,33.04,71,40,7.2,MX,1690484665
352,lazaro cardenas,17.9583,-102.2,32.89,52,94,3.06,MX,1690484903
353,funafuti,-8.5243,179.1942,27.0,94,75,5.14,TV,1690484873
354,piti village,13.4626,144.6933,27.49,86,40,3.6,GU,1690484903
355,moron,-34.6534,-58.6198,13.3,66,100,9.39,AR,1690484904
356,benguela,-12.5763,13.4055,19.95,86,46,1.91,AO,1690484904
357,kingston,17.997,-76.7936,32.91,61,20,11.83,JM,1690484621
358,carnarvon,-24.8667,113.6333,15.62,67,0,7.35,AU,1690484905
359,lodja,-3.4833,23.4333,25.23,29,0,0.21,CD,1690484905
